time,u_std_stable_spiral,v_std_stable_spiral,u_std_turbulent_spiral,v_std_turbulent_spiral
0.0,0.7032399865271064,0.703239810874136,0.7062471216270452,0.7064189024572907
0.1,0.6891245697256752,0.6891210844298888,0.7039874151410962,0.6888294002777618
0.2,0.681174321185995,0.6811727610990264,0.7028458597528772,0.6755303901734643
0.3,0.6753255727460621,0.6753271306426789,0.7022945483403845,0.6647057971323761
0.4,0.6708432736532174,0.6708485059085815,0.702036426428311,0.6558572961141217
0.5,0.6673646731149606,0.6673737762798846,0.7018751788048594,0.6486733438532056
0.6000000000000001,0.6646591203486397,0.6646719928773985,0.7016733994569517,0.6429263280532845
0.7000000000000001,0.6625634102343737,0.662579678414893,0.7013335063865892,0.6384372229983545
0.8,0.6609554149220797,0.6609744584801301,0.7007871028815124,0.6350580692460035
0.9,0.6597406467330513,0.6597616338598566,0.6999882783877551,0.6326617832320508
1.0,0.6588444047423458,0.6588663386060624,0.6989090526074573,0.63113575980939
1.1,0.6582067500287047,0.6582285255831671,0.6975361004991165,0.6303777179188412
1.2000000000000002,0.657779081878469,0.6577995501026521,0.6958682860423304,0.6302929854116246
1.3,0.657521695904827,0.6575397317205729,0.6939147220364058,0.6307927540511742
1.4,0.6574019815047895,0.6574165512697149,0.69169317643246,0.6317930066425936
1.5,0.6573930552035057,0.6574032797367235,0.6892287066762574,0.6332139142068923
1.6,0.6574727023188789,0.6574779117975076,0.6865524423292932,0.6349795595500312
1.7000000000000002,0.6576225435849393,0.657622321263966,0.6837004623163989,0.6370178817959536
1.8,0.6578273689835653,0.6578215814586519,0.680712731313849,0.6392607631228926
1.9,0.6580746003232404,0.6580634129005707,0.6776320732074902,0.6416441986623723
2.0,0.6583538525080631,0.658337729103213,0.6745031693966983,0.644108505697782
2.1,0.6586565735594165,0.6586362613664314,0.6713715773680732,0.646598540313676
2.2,0.6589757464820607,0.6589522463965447,0.6682827706737046,0.6490638992019088
2.3000000000000003,0.659305642136205,0.6592801665550185,0.6652812061017849,0.6514590919012808
2.4000000000000004,0.6596416117908297,0.6596155319307337,0.6624094272828769,0.6537436745563756
2.5,0.6599799145008549,0.6599546997700012,0.6597072168563662,0.6558823405901749
2.6,0.6603175701744076,0.6602947223935824,0.6572108113932409,0.6578449666502771
2.7,0.6606522368981298,0.6606332223043347,0.6549521947006505,0.6596066140440695
2.8000000000000003,0.6609821056837762,0.6609682876646562,0.6529584857673709,0.6611474868470808
2.9000000000000004,0.6613058113908266,0.6612983868016595,0.6512514371920594,0.6624528481534699
3.0,0.6616223568403483,0.6616222985570294,0.6498470585751063,0.6635128958018114
3.1,0.661931046760118,0.6619390548328377,0.6487553767980249,0.6643225985034393
3.2,0.6622314323664287,0.662247895772844,0.6479803415497724,0.6648814928136955
3.3000000000000003,0.6625232624110562,0.6625482329788126,0.6475198800647783,0.665193440976051
3.4000000000000004,0.6628064413202615,0.6628396209117571,0.6473660999898138,0.6652663494441433
3.5,0.6630809937535517,0.6631217352974506,0.6475056338953417,0.6651118479403738
3.6,0.6633470328281651,0.6633943552583361,0.6479201136540815,0.664744929357437
3.7,0.6636047340713203,0.6636573507126673,0.6485867579642859,0.6641835516215195
3.8,0.6638543130022039,0.6639106724405734,0.6494790521591015,0.6634482038052077
3.9,0.6640960057085922,0.6641543437153757,0.6505674964932875,0.6625614402618615
4.0,0.664330054176473,0.6643884548437144,0.6518203973939033,0.6615473881837824
4.1000000000000005,0.6645566934420544,0.664613157333976,0.6532046758255468,0.6604312356843242
4.2,0.6647761421640994,0.6648286590190701,0.6546866678410386,0.6592387091452495
4.3,0.6649885964678824,0.6650352197999454,0.6562328943171337,0.6579955499859814
4.4,0.6651942249207534,0.6652331457789811,0.6578107796477809,0.6567270020809265
4.5,0.6653931675531723,0.6654227847040037,0.659389302599627,0.6554573216597388
4.6000000000000005,0.6655855350834473,0.6656045189861873,0.6609395663730178,0.6542093215703639
4.7,0.6657714118224313,0.6657787599678595,0.662435278850085,0.6530039612191728
4.800000000000001,0.6659508583779743,0.6659459398487582,0.6638531378412004,0.6518599924098609
4.9,0.6661239172399388,0.6661065047186893,0.6651731195400125,0.6507936697408875
5.0,0.6662906179745043,0.6662609058594802,0.666378671189848,0.6498185322902156
5.1000000000000005,0.6664509842131592,0.6664095919866906,0.6674568111801831,0.6489452611411595
5.2,0.6666050401895747,0.666553000704319,0.6683981415109319,0.6481816149597248
5.300000000000001,0.666752817844268,0.6666915507284348,0.6691967788615316,0.6475324433660675
5.4,0.6668943635103396,0.6668256344263573,0.6698502115512683,0.6469997753337521
5.5,0.6670297439270396,0.6669556109299115,0.670359090673132,0.6465829774042904
5.6000000000000005,0.6671590519574346,0.6670818006703475,0.6707269644860243,0.6462789741495919
5.7,0.6672824105163926,0.6672044802559094,0.6709599659122207,0.6460825212496372
5.800000000000001,0.6673999763954255,0.6673238797206312,0.6710664635643152,0.6459865198854301
5.9,0.6675119414319491,0.6674401798498395,0.6710566869906464,0.6459823599778269
6.0,0.6676185338261498,0.6675535125487426,0.6709423369269703,0.6460602792606511
6.1000000000000005,0.6677200162760331,0.667663960987505,0.6707361911945825,0.6462097252693928
6.2,0.667816684543536,0.6677715630952114,0.6704517164038946,0.6464197080472598
6.300000000000001,0.6679088627242253,0.667876314531871,0.6701026948746555,0.6466791327019914
6.4,0.6679968992070257,0.66797817488422,0.6697028750861589,0.6469771027590933
6.5,0.6680811596707891,0.6680770731003107,0.6692656526279954,0.6473031874013692
6.6000000000000005,0.6681620209526822,0.6681729155882243,0.6688037872068213,0.6476476480177514
